+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                                                                                                                                            ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; amm_master_inst|id_router_004|the_default_decode                                                                                                                                                                                                                                                                                                                                                     ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_004                                                                                                                                                                                                                                                                                                                                                                        ; 112   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_006|the_default_decode                                                                                                                                                                                                                                                                                                                                                   ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_006                                                                                                                                                                                                                                                                                                                                                                      ; 148   ; 2              ; 3            ; 2              ; 147    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_003|the_default_decode                                                                                                                                                                                                                                                                                                                                                     ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_003                                                                                                                                                                                                                                                                                                                                                                        ; 117   ; 0              ; 2            ; 0              ; 120    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_002|the_default_decode                                                                                                                                                                                                                                                                                                                                                     ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_002                                                                                                                                                                                                                                                                                                                                                                        ; 153   ; 0              ; 2            ; 0              ; 156    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_005|the_default_decode                                                                                                                                                                                                                                                                                                                                                   ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_005                                                                                                                                                                                                                                                                                                                                                                      ; 117   ; 8              ; 5            ; 8              ; 120    ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_004|the_default_decode                                                                                                                                                                                                                                                                                                                                                   ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_004                                                                                                                                                                                                                                                                                                                                                                      ; 153   ; 0              ; 5            ; 0              ; 156    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_003|the_default_decode                                                                                                                                                                                                                                                                                                                                                   ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_003                                                                                                                                                                                                                                                                                                                                                                      ; 153   ; 0              ; 5            ; 0              ; 156    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_002|the_default_decode                                                                                                                                                                                                                                                                                                                                                   ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_002                                                                                                                                                                                                                                                                                                                                                                      ; 117   ; 8              ; 5            ; 8              ; 120    ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_001|the_default_decode                                                                                                                                                                                                                                                                                                                                                   ; 0     ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router_001                                                                                                                                                                                                                                                                                                                                                                      ; 117   ; 8              ; 5            ; 8              ; 120    ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_001|the_default_decode                                                                                                                                                                                                                                                                                                                                                     ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router_001                                                                                                                                                                                                                                                                                                                                                                        ; 112   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router|the_default_decode                                                                                                                                                                                                                                                                                                                                                         ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|id_router                                                                                                                                                                                                                                                                                                                                                                            ; 112   ; 0              ; 2            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router|the_default_decode                                                                                                                                                                                                                                                                                                                                                       ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|addr_router                                                                                                                                                                                                                                                                                                                                                                          ; 148   ; 0              ; 3            ; 0              ; 148    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_slave_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                                                                                                                                                                                      ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                                                                                                                                                                        ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_slave_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                                                                                                                                                                    ; 53    ; 1              ; 0            ; 1              ; 51     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_slave_translator_avalon_universal_slave_0_agent                                                                                                                                                                                                                                                                                                                 ; 297   ; 39             ; 38           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_bar1_0_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                                            ; 268   ; 27             ; 83           ; 27             ; 212    ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sdram_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                                                                                                                                                                                                        ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sdram_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                                                                                                                                                                                          ; 157   ; 39             ; 0            ; 39             ; 116    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sdram_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                                                                                                                                                                                      ; 54    ; 1              ; 0            ; 1              ; 52     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sdram_s1_translator_avalon_universal_slave_0_agent                                                                                                                                                                                                                                                                                                                                   ; 311   ; 39             ; 42           ; 39             ; 342    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_txs_translator_avalon_universal_slave_0_agent_rdata_fifo                                                                                                                                                                                                                                                                                                                     ; 111   ; 41             ; 0            ; 41             ; 68     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_txs_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                                                                                                                                                                                       ; 193   ; 39             ; 0            ; 39             ; 152    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_txs_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                                                                                                                                                                                   ; 54    ; 1              ; 0            ; 1              ; 52     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_txs_translator_avalon_universal_slave_0_agent                                                                                                                                                                                                                                                                                                                                ; 447   ; 72             ; 74           ; 72             ; 489    ; 72              ; 72            ; 72              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_master_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                               ; 198   ; 41             ; 83           ; 41             ; 149    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_m_write_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                                             ; 278   ; 31             ; 92           ; 31             ; 217    ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_m_read_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                                              ; 274   ; 35             ; 92           ; 35             ; 217    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_descriptor_write_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                                    ; 198   ; 41             ; 83           ; 41             ; 149    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_descriptor_read_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                                     ; 198   ; 41             ; 83           ; 41             ; 149    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_cra_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                                                                                                                                                                                       ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_cra_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                                                                                                                                                                                   ; 53    ; 1              ; 0            ; 1              ; 51     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_cra_translator_avalon_universal_slave_0_agent                                                                                                                                                                                                                                                                                                                                ; 298   ; 39             ; 39           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_csr_translator_avalon_universal_slave_0_agent_rsp_fifo                                                                                                                                                                                                                                                                                                                         ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_csr_translator_avalon_universal_slave_0_agent|uncompressor                                                                                                                                                                                                                                                                                                                     ; 53    ; 1              ; 0            ; 1              ; 51     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_csr_translator_avalon_universal_slave_0_agent                                                                                                                                                                                                                                                                                                                                  ; 298   ; 39             ; 39           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_bar2_translator_avalon_universal_master_0_agent                                                                                                                                                                                                                                                                                                                              ; 269   ; 27             ; 84           ; 27             ; 212    ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_slave_translator                                                                                                                                                                                                                                                                                                                                                ; 116   ; 7              ; 29           ; 7              ; 72     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_bar1_0_translator                                                                                                                                                                                                                                                                                                                                                            ; 191   ; 10             ; 0            ; 10             ; 184    ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sdram_s1_translator                                                                                                                                                                                                                                                                                                                                                                  ; 116   ; 5              ; 8            ; 5              ; 97     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_txs_translator                                                                                                                                                                                                                                                                                                                                                               ; 191   ; 5              ; 1            ; 5              ; 179    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0_avalon_master_translator                                                                                                                                                                                                                                                                                                                                               ; 117   ; 18             ; 2            ; 18             ; 109    ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_m_write_translator                                                                                                                                                                                                                                                                                                                                                             ; 192   ; 12             ; 0            ; 12             ; 120    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_m_read_translator                                                                                                                                                                                                                                                                                                                                                              ; 188   ; 84             ; 0            ; 84             ; 181    ; 84              ; 84            ; 84              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_descriptor_write_translator                                                                                                                                                                                                                                                                                                                                                    ; 117   ; 20             ; 2            ; 20             ; 76     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_descriptor_read_translator                                                                                                                                                                                                                                                                                                                                                     ; 117   ; 52             ; 2            ; 52             ; 109    ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_cra_translator                                                                                                                                                                                                                                                                                                                                                               ; 116   ; 6              ; 20           ; 6              ; 85     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|sgdma_csr_translator                                                                                                                                                                                                                                                                                                                                                                 ; 116   ; 7              ; 28           ; 7              ; 73     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|pcie_ip_bar2_translator                                                                                                                                                                                                                                                                                                                                                              ; 191   ; 10             ; 0            ; 10             ; 184    ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt13                                                                                                                                                                                                                                                                                                                                                        ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt12                                                                                                                                                                                                                                                                                                                                                        ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt11                                                                                                                                                                                                                                                                                                                                                        ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt10                                                                                                                                                                                                                                                                                                                                                        ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt8                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt7                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt6                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt5                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt4                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt3                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt2                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT|bt1                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|IFFT                                                                                                                                                                                                                                                                                                                                                             ; 275   ; 1              ; 1            ; 1              ; 273    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|DIT|bt13                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|DIT|bt12                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; amm_master_inst|user_module_0|FIRST|DIT|bt11                                                                                                                                                                                                                                                                                                                                                         ; 106   ; 36             ; 1            ; 36             ; 68     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
